"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","discard_ratio"
2014,"Brunei Darussalam","Zinc",73321441.034329,62575081.0235782,NA,12855.1799831638,0.85343495900852
2014,"Egypt","Vitamin A, RAE",679732644449.275,578366347857.133,NA,NA,0.850873284636389
2017,"Ghana","Zinc",260420071.066151,221512126.594588,NA,NA,0.850595446379096
2017,"Mauritania","Vitamin A, RAE",1967340996396.6,1672604441993.04,984584243.025815,984584243.025815,0.850185323772849
2016,"Netherlands","DHA+EPA",431183331.419881,365994790.489251,NA,429013.199722306,0.848814793661053
2017,"Australia","Calcium",26388385274.8774,22350502122.2494,13207400.0374762,13207400.0374762,0.846982560298137
2018,"Ireland","Iron",188731039.990364,159678941.304382,85557.612222218,85557.612222218,0.846066133649953
2017,"Brunei Darussalam","Calcium",4314151174.59523,3632018859.16378,NA,6016.96558544539,0.841884929891115
2018,"Australia","Protein",3967631088.54069,3334853367.1422,1985801.34561596,1985801.34561596,0.840514980531815
2018,"El Salvador","Iron",135406842.473948,113687047.009671,67771.1924294035,67771.1924294035,0.839596027294881
2016,"Curacao","Iron",279509846.300964,234440727.406169,NA,NA,0.838756596623556
2017,"Guatemala","Iron",214761522.48625,180132612.495525,NA,NA,0.838756451389274
2014,"Curacao","Iron",187025981.100551,156869242.091432,NA,NA,0.838756418591355
2015,"Saint Kitts & Nevis","Iron",767769807.788597,643971829.252328,NA,NA,0.838756385989123
2018,"Saint Kitts & Nevis","Iron",767769807.788597,643971829.252328,NA,NA,0.838756385989123
2018,"Guatemala","Iron",193769794.734782,162525645.689958,NA,NA,0.838756349576627
2014,"Guatemala","Iron",135638856.307105,113767951.976411,NA,NA,0.83875634957305
2015,"Guatemala","Iron",135638856.307105,113767951.976411,NA,NA,0.83875634957305
2016,"Guatemala","Iron",180851808.409473,151690602.635215,NA,NA,0.83875634957305
2015,"Curacao","Iron",256389048.994889,215047872.477141,NA,NA,0.838756075269921
2017,"Curacao","Iron",314191525.100157,263529998.866609,NA,NA,0.838755911008744
2018,"Curacao","Iron",348873139.4402,292619379.658085,NA,NA,0.838755830063674
2017,"Saint Kitts & Nevis","Vitamin B12",778503668.02586,652070271.656349,NA,NA,0.837594347255778
2016,"Saint Kitts & Nevis","Vitamin B12",778480648.476395,652044777.694809,NA,NA,0.837586366431791
2017,"Russian Federation","DHA+EPA",1413688649.7935,1179563672.23902,701066.761115219,701066.761115219,0.834387170337202
2017,"Mauritania","Vitamin B12",5055895390.98619,4216294243.94066,2525807.65971187,2525807.65971187,0.833936210677459
2018,"Tunisia","Protein",2766640122.51667,2302959860.72971,1384704.76602436,1384704.76602436,0.832403116685382
2017,"Dominica","Calcium",455174437.662419,378205167.84846,NA,39.9406546618572,0.830901598496524
2018,"Ireland","Protein",1419478980.1053,1179023893.95379,636782.454235683,636782.454235683,0.830603278018474
2015,"Israel","Iron",29454585.3561362,24313947.2151227,NA,2023.16264,0.825472398308858
2014,"Israel","Iron",28917425.9540276,23752728.3426779,NA,2023.16264,0.821398432226975
2018,"El Salvador","Vitamin B12",129111257.623392,106038808.613808,64620.2490607569,64620.2490607569,0.821297929907206
2016,"Mauritania","Vitamin A, RAE",1139364989924.78,934986588172.548,569625689.722315,569625689.722315,0.820620781260159
2016,"Curacao","Vitamin B12",266514358.615088,218668846.439384,NA,NA,0.820476793729512
2017,"Guatemala","Vitamin B12",204776433.381858,168014282.400117,NA,NA,0.820476651660456
2014,"Curacao","Vitamin B12",178330423.979769,146315943.434713,NA,NA,0.820476619577333
2015,"Saint Kitts & Nevis","Vitamin B12",732073236.756317,600648951.229799,NA,NA,0.820476587685632
