"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","fmfo_dhc_ratio","dhc_fmfo_ratio"
2016,"Latvia","Calcium",476981863.285665,NA,0,292384.998283949,Inf,0
2016,"Latvia","DHA+EPA",6406990.47852372,NA,0,1971.62009862234,Inf,0
2016,"Latvia","Iron",15379504.6881948,NA,0,5348.00769589074,Inf,0
2016,"Latvia","Protein",167939195.264863,NA,0,44371.897162025,Inf,0
2016,"Latvia","Vitamin A, RAE",156572579.021612,NA,0,77411.7407623743,Inf,0
2016,"Latvia","Vitamin B12",71157069.936591,NA,0,5659.10904563665,Inf,0
2016,"Latvia","Zinc",8604929.96672593,NA,0,2268.13810483076,Inf,0
2016,"Lithuania","Calcium",650034415.837452,NA,0,650685.100938391,Inf,0
2016,"Lithuania","DHA+EPA",10591949.6145788,NA,0,10602.5521667455,Inf,0
2016,"Lithuania","Iron",55925435.8992942,NA,0,55981.4173166108,Inf,0
2016,"Lithuania","Protein",243502914.482735,NA,0,243746.661143879,Inf,0
2016,"Lithuania","Vitamin A, RAE",406610533.268122,NA,0,407017.550818941,Inf,0
2016,"Lithuania","Vitamin B12",15144296.3593121,NA,0,15159.4558151272,Inf,0
2016,"Lithuania","Zinc",14782033.0782715,NA,0,14796.8299081797,Inf,0
2016,"Malta","Calcium",47365130969.4412,9593160184.49741,0,47412534.7430659,Inf,0
2016,"Malta","DHA+EPA",305841005.320231,102686530.062687,0,306146.799865376,Inf,0
2016,"Malta","Iron",871327774.347477,486299189.161416,0,872199.490181258,Inf,0
2016,"Malta","Protein",7214403776.69105,3193747565.30937,0,7221606.22566672,Inf,0
2016,"Malta","Vitamin A, RAE",12796831224.1032,974538049735.695,0,12809636.9410442,Inf,0
2016,"Malta","Vitamin B12",834549536.745701,1128968034.62238,0,835384.107453154,Inf,0
2016,"Malta","Zinc",361027592.132037,366890408.250485,0,361388.656745583,Inf,0
2016,"Mauritius","Calcium",656027281.511858,NA,0,NA,Inf,0
2016,"Mauritius","DHA+EPA",2353936.91866801,NA,0,NA,Inf,0
2016,"Mauritius","Iron",6533225.3096944,NA,0,NA,Inf,0
2016,"Mauritius","Protein",76327741.6683699,NA,0,NA,Inf,0
2016,"Mauritius","Vitamin A, RAE",111522592.882302,NA,0,NA,Inf,0
2016,"Mauritius","Vitamin B12",8930731.0877778,NA,0,NA,Inf,0
2016,"Mauritius","Zinc",2306559.25115009,NA,0,NA,Inf,0
2016,"Montenegro","Calcium",242549726.700764,72837755.7659952,0,242792.519219984,Inf,0
2016,"Montenegro","DHA+EPA",2957526.00591933,888145.947723523,0,2960.48649241174,Inf,0
2016,"Montenegro","Iron",13793220.4523175,4142108.2439392,0,13807.0274797973,Inf,0
2016,"Montenegro","Protein",88384095.1472908,26541770.3145017,0,88472.5677150057,Inf,0
2016,"Montenegro","Vitamin A, RAE",6382848100.14612,1916771201.24508,0,6389237.3374836,Inf,0
2016,"Montenegro","Vitamin B12",14765949.3860651,4434219.03485439,0,14780.7301161813,Inf,0
2016,"Montenegro","Zinc",12839552.1029733,3855721.35224423,0,12852.4045074808,Inf,0
