"iso3c","nutrient","ASF","bottom_trawl","Fish","Other","total","perc_fish","perc_ASF","perc_tot"
"AUS","Protein",1494.602423652,0.436710553746912,209.426886932,856.227892737,2350.830316389,0.208526498266056,0.0292191787485415,0.0185768641276382
"AUS","Vitamin A",10492.493391678,3.05342953424843,437.60839253,24584.098090051,35076.591481729,0.697753879123583,0.0291010860837923,0.0087050349114991
"AUS","Vitamin B12",156.80474317,0.046938015707851,36.16977634,196.181528638,352.986271808,0.129771373941128,0.0299340534979628,0.0132974054394336
"AUS","Zinc",172.580805042,0.0277536334945544,8.597620369,120.32893439,292.909739432,0.32280598937148,0.0160815297435889,0.00947514874321804
"AUT","Calcium",13380.688282555,0,162.159035041,4554.403795203,17935.092077758,0,0,0
"AUT","DHA+EPA",3.465593355,0,1.720711105,5.774050525,9.23964388,0,0,0
"AUT","Iron",50.692130959,0,3.828648187,317.230245987,367.922376946,0,0,0
"AUT","Protein",1167.781821199,0,85.076006216,771.678592866,1939.460414065,0,0,0
"AUT","Vitamin A",6470.331744357,0,127.913056511,7960.137791535,14430.469535892,0,0,0
"AUT","Vitamin B12",73.790359551,0,6.751446129,28.627606369,102.41796592,0,0,0
"AUT","Zinc",130.119148285,0,3.000439302,86.258414487,216.377562772,0,0,0
"AZE","Calcium",8559.704985261,0,54.508652898,4494.475272147,13054.180257408,0,0,0
"AZE","DHA+EPA",1.915232124,0,0.595612011,2.40995105,4.325183174,0,0,0
"AZE","Iron",34.745249091,0,1.516428023,541.959419026,576.704668117,0,0,0
"AZE","Protein",577.10089291,0,30.374580495,1256.944706955,1834.045599865,0,0,0
"AZE","Vitamin A",6054.17238514,0,39.06396465,11271.153972878,17325.326358018,0,0,0
"AZE","Vitamin B12",62.541224983,0,2.54244804,73.128359607,135.66958459,0,0,0
"AZE","Zinc",73.838143243,0,1.056020016,118.328155088,192.166298331,0,0,0
"BEL","Calcium",13380.688282555,1.33148990029681,162.159035041,4554.403795203,17935.092077758,0.821101272562556,0.0099508326640621,0.00742393679677867
"BEL","DHA+EPA",3.465593355,0.0107361303652623,1.720711105,5.774050525,9.23964388,0.623935670204345,0.309791982656383,0.116196365408645
"BEL","Iron",50.692130959,0.0421739471471383,3.828648187,317.230245987,367.922376946,1.10153623647997,0.0831962404209221,0.011462729583672
"BEL","Protein",1167.781821199,0.433085839280316,85.076006216,771.678592866,1939.460414065,0.509057557521861,0.0370861946485562,0.0223302231971104
"BEL","Vitamin A",6470.331744357,9.84852353723242,127.913056511,7960.137791535,14430.469535892,7.69938879256278,0.152210488215255,0.0682481156468042
"BEL","Vitamin B12",73.790359551,0.0493346515132005,6.751446129,28.627606369,102.41796592,0.730727174157395,0.0668578548924173,0.0481699192812875
"BEL","Zinc",130.119148285,0.02826738794871,3.000439302,86.258414487,216.377562772,0.942108308268988,0.0217242337667289,0.0130639182670228
"BEN","Calcium",1520.876205797,0,359.23170858,5971.441815149,7492.318020946,0,0,0
"BEN","DHA+EPA",3.961599699,0,3.741238915,4.588358812,8.549958511,0,0,0
"BEN","Iron",18.387540868,0,7.126784616,306.422402906,324.809943774,0,0,0
"BEN","Protein",304.531794782,0,146.068243887,981.922258259,1286.454053041,0,0,0
"BEN","Vitamin A",1786.96156664,0,305.90159095,13723.653807179,15510.615373819,0,0,0
"BEN","Vitamin B12",23.222662496,0,9.586637104,30.398830921,53.621493417,0,0,0
"BEN","Zinc",23.110998969,0,4.735471945,174.01101397,197.122012939,0,0,0
"BFA","Calcium",2356.013756174,0,113.710621023,4618.535221212,6974.548977386,0,0,0
"BFA","DHA+EPA",1.397914212,0,1.191299605,0.08,1.477914212,0,0,0
"BFA","Iron",15.881418709,0,3.441907373,515.503778805,531.385197514,0,0,0
"BFA","Protein",234.993167527,0,62.649181028,1365.258397744,1600.251565271,0,0,0
"BFA","Vitamin A",1226.475289856,0,83.704328069,4679.942559372,5906.417849228,0,0,0
"BFA","Vitamin B12",21.173464529,0,4.428697118,38.272411427,59.445875956,0,0,0
"BFA","Zinc",25.561140237,0,2.212625036,236.247266586,261.808406823,0,0,0
"BGD","Calcium",2725.402908814,2.34809731074054,686.68283674,3231.465512799,5956.868421613,0.341947866629088,0.0861559699355552,0.0394183175545905
"BGD","DHA+EPA",7.525830084,0.0160913908506733,7.364956142,10.080399262,17.606229346,0.218485901890294,0.213815495049294,0.0913960083925019
"BGD","Iron",18.499066955,0.0449915653783679,10.449349845,220.800373352,239.299440307,0.430568083620019,0.243209916953176,0.0188013667397833
"BGD","Protein",320.306208412,0.362756392679758,212.12344687,1020.860688683,1341.166897095,0.171011926325181,0.113253000770174,0.027047818840854
"BGD","Vitamin A",1742.616645986,0.964804134889643,587.45401319,3312.640230907,5055.256876893,0.164234835957721,0.0553652541488115,0.019085165371114
"BGD","Vitamin B12",30.724192579,0.0486067809702208,22.008840299,8.251393216,38.975585795,0.220851168484463,0.158203607288426,0.124710841360738
"BGD","Zinc",21.128886892,0.0211261513530192,8.043040506,166.84785029,187.976737182,0.26266374435463,0.0999870530852156,0.0112387052088072
"BGR","Calcium",13380.688282555,0,162.159035041,4554.403795203,17935.092077758,0,0,0
"BGR","DHA+EPA",3.465593355,0,1.720711105,5.774050525,9.23964388,0,0,0
"BGR","Iron",50.692130959,0,3.828648187,317.230245987,367.922376946,0,0,0
"BGR","Protein",1167.781821199,0,85.076006216,771.678592866,1939.460414065,0,0,0
"BGR","Vitamin A",6470.331744357,0,127.913056511,7960.137791535,14430.469535892,0,0,0
"BGR","Vitamin B12",73.790359551,0,6.751446129,28.627606369,102.41796592,0,0,0
"BGR","Zinc",130.119148285,0,3.000439302,86.258414487,216.377562772,0,0,0
"BHS","Calcium",5092.433168474,0,426.96498503,4136.651036145,9229.084204619,0,0,0
"BHS","DHA+EPA",4.612115284,0,2.603514253,10.33460442,14.946719704,0,0,0
"BHS","Iron",58.440399376,0,10.20311233,239.072582758,297.512982134,0,0,0
"BHS","Protein",937.905987541,0,220.06067096,409.717778333,1347.623765874,0,0,0
"BHS","Vitamin A",6453.96650431,0,377.17584992,9365.040357222,15819.006861532,0,0,0
"BHS","Vitamin B12",74.075232751,0,25.02770653,52.719191131,126.794423882,0,0,0
"BHS","Zinc",91.776043394,0,9.526218925,70.024407013,161.800450407,0,0,0
"BIH","Calcium",13976.888884212,0,84.149292097,6677.644460474,20654.533344686,0,0,0
"BIH","DHA+EPA",1.782175968,0,0.870063777,6.978263413,8.760439381,0,0,0
"BIH","Iron",33.103548488,0,2.737505794,490.140754392,523.24430288,0,0,0
"BIH","Protein",768.013946552,0,45.18782306,1190.138359384,1958.152305936,0,0,0
"BIH","Vitamin A",7040.698838377,0,62.775388939,20451.938230365,27492.637068742,0,0,0
"BIH","Vitamin B12",80.961082243,0,6.369433142,57.950135575,138.911217818,0,0,0
"BIH","Zinc",90.234729023,0,1.745550152,189.023898268,279.258627291,0,0,0
"BLR","Calcium",8830.796587897,0,267.99391285,7707.204276683,16538.00086458,0,0,0
"BLR","DHA+EPA",5.141652757,0,2.766785974,8.583169739,13.724822496,0,0,0
"BLR","Iron",64.756495783,0,7.892335316,355.669792888,420.426288671,0,0,0
"BLR","Protein",1136.661932339,0,150.647388563,985.597337827,2122.259270166,0,0,0
