"iso3c","nutrient","ASF","bottom_trawl","Fish","Other","total","perc_fish","perc_ASF","perc_tot"
"ATG","Iron",72.340648695,0,23.975355422,299.607108688,371.947757383,0,0,0
"ATG","Protein",1316.678501236,0,499.38867604,565.030705974,1881.70920721,0,0,0
"ATG","Vitamin A",9427.724737321,0,1031.80749051,12418.633987834,21846.358725155,0,0,0
"ATG","Vitamin B12",120.551893043,0,57.942372194,65.68574437,186.237637413,0,0,0
"ATG","Zinc",108.884477632,0,17.725675722,78.616685575,187.501163207,0,0,0
"AUS","Calcium",14093.524322227,5.00603190909789,460.54448156,4938.682727398,19032.207049625,1.0869811949849,0.0355200856410546,0.0263029500259484
"AUS","DHA+EPA",5.761133284,0.018312776827229,3.666214724,11.375420354,17.136553638,0.499500935047497,0.317867612576988,0.106863825796459
"AUS","Iron",88.574245848,0.0659564355124577,12.048078555,348.774066277,437.348312125,0.547443604483186,0.0744645747542055,0.0150809854946019
"AUS","Protein",1494.602423652,0.743911957987841,209.426886932,856.227892737,2350.830316389,0.355213205374812,0.0497732337520317,0.031644647119003
"AUS","Vitamin A",10492.493391678,5.20134611795311,437.60839253,24584.098090051,35076.591481729,1.18858463565608,0.0495720695147494,0.0148285392001741
"AUS","Vitamin B12",156.80474317,0.079956279667854,36.16977634,196.181528638,352.986271808,0.22105826399438,0.0509909828309016,0.0226513850689765
"AUS","Zinc",172.580805042,0.0472767595311563,8.597620369,120.32893439,292.909739432,0.549881915019413,0.0273939848175183,0.0161403849605116
"AUT","Calcium",13380.688282555,0,162.159035041,4554.403795203,17935.092077758,0,0,0
"AUT","DHA+EPA",3.465593355,0,1.720711105,5.774050525,9.23964388,0,0,0
"AUT","Iron",50.692130959,0,3.828648187,317.230245987,367.922376946,0,0,0
"AUT","Protein",1167.781821199,0,85.076006216,771.678592866,1939.460414065,0,0,0
"AUT","Vitamin A",6470.331744357,0,127.913056511,7960.137791535,14430.469535892,0,0,0
"AUT","Vitamin B12",73.790359551,0,6.751446129,28.627606369,102.41796592,0,0,0
"AUT","Zinc",130.119148285,0,3.000439302,86.258414487,216.377562772,0,0,0
"AZE","Calcium",8559.704985261,0,54.508652898,4494.475272147,13054.180257408,0,0,0
"AZE","DHA+EPA",1.915232124,0,0.595612011,2.40995105,4.325183174,0,0,0
"AZE","Iron",34.745249091,0,1.516428023,541.959419026,576.704668117,0,0,0
"AZE","Protein",577.10089291,0,30.374580495,1256.944706955,1834.045599865,0,0,0
"AZE","Vitamin A",6054.17238514,0,39.06396465,11271.153972878,17325.326358018,0,0,0
"AZE","Vitamin B12",62.541224983,0,2.54244804,73.128359607,135.66958459,0,0,0
"AZE","Zinc",73.838143243,0,1.056020016,118.328155088,192.166298331,0,0,0
"BEL","Calcium",13380.688282555,38.7432447911939,162.159035041,4554.403795203,17935.092077758,23.8921283549807,0.289545978301469,0.216019213189549
"BEL","DHA+EPA",3.465593355,0.312396306392415,1.720711105,5.774050525,9.23964388,18.15507004544,9.01422280088642,3.38104271603609
"BEL","Iron",50.692130959,1.22716331364452,3.828648187,317.230245987,367.922376946,32.0521305094393,2.420816190657,0.33353864579556
"BEL","Protein",1167.781821199,12.6017859264998,85.076006216,771.678592866,1939.460414065,14.8123854033592,1.07912160454434,0.649757315751917
"BEL","Vitamin A",6470.331744357,286.569021777614,127.913056511,7960.137791535,14430.469535892,224.034222615086,4.42896953510214,1.98586068918166
"BEL","Vitamin B12",73.790359551,1.43552307819841,6.751446129,28.627606369,102.41796592,21.2624532695639,1.94540734986696,1.40163209189266
"BEL","Zinc",130.119148285,0.822514936583735,3.000439302,86.258414487,216.377562772,27.4131503355349,0.632124439350141,0.380129494965442
"BEN","Calcium",1520.876205797,0,359.23170858,5971.441815149,7492.318020946,0,0,0
"BEN","DHA+EPA",3.961599699,0,3.741238915,4.588358812,8.549958511,0,0,0
"BEN","Iron",18.387540868,0,7.126784616,306.422402906,324.809943774,0,0,0
